Instance,Algorithm,Params,Seed,BestCost,Evaluations,ElapsedMs,BestFoundAt,Timestamp
tai_20_5_0,Evolutionary_p30_g70_s0,EvolutionaryParameters,0,14981,2130,3.5047,2104,2026-03-20T16:54:44.9082994+00:00
tai_20_5_0,Evolutionary_p30_g80_s0,EvolutionaryParameters,0,14654,2430,3.9726,1149,2026-03-20T16:54:45.0435065+00:00
tai_20_5_0,Evolutionary_p30_g90_s0,EvolutionaryParameters,0,14674,2730,4.2994,2186,2026-03-20T16:54:45.0205712+00:00
tai_20_5_0,Evolutionary_p30_g100_s0,EvolutionaryParameters,0,14700,3030,4.9809,2503,2026-03-20T16:54:44.9480053+00:00
tai_20_5_0,Evolutionary_p30_g110_s0,EvolutionaryParameters,0,14796,3330,9.5763,2965,2026-03-20T16:54:45.0052640+00:00
tai_20_5_0,Evolutionary_p30_g120_s0,EvolutionaryParameters,0,14695,3630,11.152,3431,2026-03-20T16:54:45.0078692+00:00
tai_20_5_0,Evolutionary_p30_g130_s0,EvolutionaryParameters,0,15004,3930,7.504,3632,2026-03-20T16:54:44.9298586+00:00
tai_20_5_0,Evolutionary_p30_g140_s0,EvolutionaryParameters,0,14353,4230,8.3804,3802,2026-03-20T16:54:45.0115527+00:00
tai_20_5_0,Evolutionary_p30_g150_s0,EvolutionaryParameters,0,14954,4530,8.1426,3854,2026-03-20T16:54:45.0210194+00:00
tai_20_5_0,Evolutionary_p30_g160_s0,EvolutionaryParameters,0,14462,4830,8.7176,4299,2026-03-20T16:54:45.0545603+00:00
tai_20_5_0,Evolutionary_p40_g10_s0,EvolutionaryParameters,0,15710,440,0.6119,402,2026-03-20T16:54:45.0168408+00:00
tai_20_5_0,Evolutionary_p40_g20_s0,EvolutionaryParameters,0,15133,840,1.4786,800,2026-03-20T16:54:44.9834077+00:00
tai_20_5_0,Evolutionary_p40_g30_s0,EvolutionaryParameters,0,14848,1240,2.1042,957,2026-03-20T16:54:45.0119353+00:00
tai_20_5_0,Evolutionary_p40_g40_s0,EvolutionaryParameters,0,14770,1640,2.8031,1468,2026-03-20T16:54:44.9967105+00:00
tai_20_5_0,Evolutionary_p40_g50_s0,EvolutionaryParameters,0,14724,2040,3.0075,1834,2026-03-20T16:54:44.8620611+00:00
tai_20_5_0,Evolutionary_p40_g60_s0,EvolutionaryParameters,0,14448,2440,4.1466,1943,2026-03-20T16:54:44.9390411+00:00
tai_20_5_0,Evolutionary_p40_g70_s0,EvolutionaryParameters,0,14481,2840,16.307,2584,2026-03-20T16:54:44.8679448+00:00
tai_20_5_0,Evolutionary_p40_g80_s0,EvolutionaryParameters,0,14385,3240,5.9167,2544,2026-03-20T16:54:45.0258368+00:00
tai_20_5_0,Evolutionary_p40_g90_s0,EvolutionaryParameters,0,14662,3640,5.9764,2284,2026-03-20T16:54:44.9134537+00:00
tai_20_5_0,Evolutionary_p40_g100_s0,EvolutionaryParameters,0,14613,4040,6.6113,3156,2026-03-20T16:54:44.9872951+00:00
tai_20_5_0,Evolutionary_p40_g110_s0,EvolutionaryParameters,0,14740,4440,7.6349,4353,2026-03-20T16:54:44.8662691+00:00
tai_20_5_0,Evolutionary_p40_g120_s0,EvolutionaryParameters,0,14424,4840,6.9702,4750,2026-03-20T16:54:45.0886246+00:00
tai_20_5_0,Evolutionary_p40_g130_s0,EvolutionaryParameters,0,14551,5240,8.5724,4990,2026-03-20T16:54:44.9157350+00:00
tai_20_5_0,Evolutionary_p40_g140_s0,EvolutionaryParameters,0,14573,5640,9.2293,4870,2026-03-20T16:54:45.0459837+00:00
tai_20_5_0,Evolutionary_p40_g150_s0,EvolutionaryParameters,0,14551,6040,9.7845,4472,2026-03-20T16:54:44.9241214+00:00
tai_20_5_0,Evolutionary_p40_g160_s0,EvolutionaryParameters,0,14423,6440,11.1011,4656,2026-03-20T16:54:44.9919603+00:00
tai_20_5_0,Evolutionary_p50_g10_s0,EvolutionaryParameters,0,15502,550,5.0825,550,2026-03-20T16:54:44.8568517+00:00
tai_20_5_0,Evolutionary_p50_g20_s0,EvolutionaryParameters,0,15483,1050,1.8256,975,2026-03-20T16:54:44.9348890+00:00
tai_20_5_0,Evolutionary_p50_g30_s0,EvolutionaryParameters,0,14962,1550,3.7297,803,2026-03-20T16:54:44.9050972+00:00
tai_20_5_0,Evolutionary_p50_g40_s0,EvolutionaryParameters,0,14659,2050,4.6355,1358,2026-03-20T16:54:44.9572153+00:00
tai_20_5_0,Evolutionary_p50_g50_s0,EvolutionaryParameters,0,14579,2550,3.2169,2451,2026-03-20T16:54:45.0710536+00:00
tai_20_5_0,Evolutionary_p50_g60_s0,EvolutionaryParameters,0,14475,3050,3.1435,2759,2026-03-20T16:54:45.1158339+00:00
tai_20_5_0,Evolutionary_p50_g70_s0,EvolutionaryParameters,0,14474,3550,7.17,3399,2026-03-20T16:54:44.9067945+00:00
tai_20_5_0,Evolutionary_p50_g80_s0,EvolutionaryParameters,0,14567,4050,3.7853,4017,2026-03-20T16:54:45.0946123+00:00
tai_20_5_0,Evolutionary_p50_g90_s0,EvolutionaryParameters,0,14359,4550,8.1634,4277,2026-03-20T16:54:45.0306890+00:00
tai_20_5_0,Evolutionary_p50_g100_s0,EvolutionaryParameters,0,14486,5050,8.81,4333,2026-03-20T16:54:45.0395155+00:00
tai_20_5_0,Evolutionary_p50_g110_s0,EvolutionaryParameters,0,14641,5550,9.146,3044,2026-03-20T16:54:45.0458247+00:00
tai_20_5_0,Evolutionary_p50_g120_s0,EvolutionaryParameters,0,14442,6050,9.8028,2761,2026-03-20T16:54:44.9686483+00:00
tai_20_5_0,Evolutionary_p50_g130_s0,EvolutionaryParameters,0,14195,6550,10.5994,5904,2026-03-20T16:54:45.0724178+00:00
tai_20_5_0,Evolutionary_p50_g140_s0,EvolutionaryParameters,0,14302,7050,12.6627,6785,2026-03-20T16:54:44.9805895+00:00
tai_20_5_0,Evolutionary_p50_g150_s0,EvolutionaryParameters,0,14344,7550,9.0668,7320,2026-03-20T16:54:45.0500246+00:00
tai_20_5_0,Evolutionary_p50_g160_s0,EvolutionaryParameters,0,14271,8050,13.2206,7718,2026-03-20T16:54:44.9215278+00:00
tai_20_5_0,Evolutionary_p60_g10_s0,EvolutionaryParameters,0,15288,660,1.1835,559,2026-03-20T16:54:44.9525703+00:00
tai_20_5_0,Evolutionary_p60_g20_s0,EvolutionaryParameters,0,14676,1260,2.1858,555,2026-03-20T16:54:44.9087962+00:00
tai_20_5_0,Evolutionary_p60_g30_s0,EvolutionaryParameters,0,14787,1860,3.2448,1619,2026-03-20T16:54:44.9183225+00:00
tai_20_5_0,Evolutionary_p60_g40_s0,EvolutionaryParameters,0,14660,2460,5.3425,2405,2026-03-20T16:54:45.0263794+00:00
tai_20_5_0,Evolutionary_p60_g50_s0,EvolutionaryParameters,0,14693,3060,5.0941,2859,2026-03-20T16:54:45.0415898+00:00
tai_20_5_0,Evolutionary_p60_g60_s0,EvolutionaryParameters,0,14670,3660,6.0076,3538,2026-03-20T16:54:45.0138914+00:00
tai_20_5_0,Evolutionary_p60_g70_s0,EvolutionaryParameters,0,14626,4260,4.1539,4130,2026-03-20T16:54:45.0600327+00:00
tai_20_5_0,Evolutionary_p60_g80_s0,EvolutionaryParameters,0,14495,4860,7.0486,4152,2026-03-20T16:54:44.9653554+00:00
tai_20_5_0,Evolutionary_p60_g90_s0,EvolutionaryParameters,0,14477,5460,8.7431,4808,2026-03-20T16:54:45.0098151+00:00
tai_20_5_0,Evolutionary_p60_g100_s0,EvolutionaryParameters,0,14489,6060,11.7348,4618,2026-03-20T16:54:44.8832243+00:00
tai_20_5_0,Evolutionary_p60_g110_s0,EvolutionaryParameters,0,14519,6660,7.6229,3538,2026-03-20T16:54:45.0334768+00:00
tai_20_5_0,Evolutionary_p60_g120_s0,EvolutionaryParameters,0,14647,7260,11.9814,7064,2026-03-20T16:54:45.0325702+00:00
tai_20_5_0,Evolutionary_p60_g130_s0,EvolutionaryParameters,0,14211,7860,17.0363,7324,2026-03-20T16:54:44.8689971+00:00
tai_20_5_0,Evolutionary_p60_g140_s0,EvolutionaryParameters,0,14408,8460,13.754,8183,2026-03-20T16:54:44.9713505+00:00
tai_20_5_0,Evolutionary_p60_g150_s0,EvolutionaryParameters,0,14542,9060,24.9373,9016,2026-03-20T16:54:44.8766145+00:00
tai_20_5_0,Evolutionary_p60_g160_s0,EvolutionaryParameters,0,14351,9660,20.1702,8500,2026-03-20T16:54:44.8968401+00:00
tai_20_5_0,Evolutionary_p70_g10_s0,EvolutionaryParameters,0,15249,770,1.4247,662,2026-03-20T16:54:45.0082049+00:00
tai_20_5_0,Evolutionary_p70_g20_s0,EvolutionaryParameters,0,14617,1470,2.8428,1370,2026-03-20T16:54:44.9885251+00:00
tai_20_5_0,Evolutionary_p70_g30_s0,EvolutionaryParameters,0,14865,2170,7.4301,2024,2026-03-20T16:54:44.8591349+00:00
tai_20_5_0,Evolutionary_p70_g40_s0,EvolutionaryParameters,0,14967,2870,9.0656,2618,2026-03-20T16:54:44.8606943+00:00
tai_20_5_0,Evolutionary_p70_g50_s0,EvolutionaryParameters,0,14647,3570,5.3009,3570,2026-03-20T16:54:45.0162147+00:00
tai_20_5_0,Evolutionary_p70_g60_s0,EvolutionaryParameters,0,14345,4270,8.0727,4126,2026-03-20T16:54:44.9504217+00:00
tai_20_5_0,Evolutionary_p70_g70_s0,EvolutionaryParameters,0,14430,4970,8.483,4901,2026-03-20T16:54:44.9002571+00:00
tai_20_5_0,Evolutionary_p70_g80_s0,EvolutionaryParameters,0,14513,5670,13.4511,4696,2026-03-20T16:54:44.9047766+00:00
tai_20_5_0,Evolutionary_p70_g90_s0,EvolutionaryParameters,0,14388,6370,7.0654,5119,2026-03-20T16:54:45.1038832+00:00
tai_20_5_0,Evolutionary_p70_g100_s0,EvolutionaryParameters,0,14389,7070,11.8385,6700,2026-03-20T16:54:44.9424095+00:00
tai_20_5_0,Evolutionary_p70_g110_s0,EvolutionaryParameters,0,14204,7770,12.5577,6760,2026-03-20T16:54:45.0560805+00:00
tai_20_5_0,Evolutionary_p70_g120_s0,EvolutionaryParameters,0,14453,8470,13.9245,4813,2026-03-20T16:54:45.0221454+00:00
tai_20_5_0,Evolutionary_p70_g130_s0,EvolutionaryParameters,0,14199,9170,17.1219,5523,2026-03-20T16:54:44.9146710+00:00
tai_20_5_0,Evolutionary_p70_g140_s0,EvolutionaryParameters,0,14365,9870,16.5621,7513,2026-03-20T16:54:44.9918077+00:00
tai_20_5_0,Evolutionary_p70_g150_s0,EvolutionaryParameters,0,14531,10570,16.3043,8856,2026-03-20T16:54:45.0475658+00:00
tai_20_5_0,Evolutionary_p70_g160_s0,EvolutionaryParameters,0,14330,11270,22.5333,8800,2026-03-20T16:54:45.0058361+00:00
tai_20_5_0,Evolutionary_p80_g10_s0,EvolutionaryParameters,0,15510,880,1.6082,514,2026-03-20T16:54:44.9588385+00:00
tai_20_5_0,Evolutionary_p80_g20_s0,EvolutionaryParameters,0,14428,1680,6.4274,1634,2026-03-20T16:54:44.8583835+00:00
tai_20_5_0,Evolutionary_p80_g30_s0,EvolutionaryParameters,0,14514,2480,6.1111,2018,2026-03-20T16:54:44.9747793+00:00
tai_20_5_0,Evolutionary_p80_g40_s0,EvolutionaryParameters,0,14746,3280,5.6138,3260,2026-03-20T16:54:45.0108971+00:00
tai_20_5_0,Evolutionary_p80_g50_s0,EvolutionaryParameters,0,14782,4080,6.9985,3837,2026-03-20T16:54:44.9379531+00:00
tai_20_5_0,Evolutionary_p80_g60_s0,EvolutionaryParameters,0,14470,4880,9.2299,3631,2026-03-20T16:54:44.9956726+00:00
tai_20_5_0,Evolutionary_p80_g70_s0,EvolutionaryParameters,0,14547,5680,10.6108,4759,2026-03-20T16:54:44.9074665+00:00
tai_20_5_0,Evolutionary_p80_g80_s0,EvolutionaryParameters,0,14379,6480,11.8983,5015,2026-03-20T16:54:45.0494923+00:00
tai_20_5_0,Evolutionary_p80_g90_s0,EvolutionaryParameters,0,14277,7280,12.6481,4722,2026-03-20T16:54:44.9303017+00:00
tai_20_5_0,Evolutionary_p80_g100_s0,EvolutionaryParameters,0,14637,8080,19.6289,7909,2026-03-20T16:54:45.0081700+00:00
tai_20_5_0,Evolutionary_p80_g110_s0,EvolutionaryParameters,0,14349,8880,17.3184,7821,2026-03-20T16:54:44.8916501+00:00
tai_20_5_0,Evolutionary_p80_g120_s0,EvolutionaryParameters,0,14127,9680,23.5858,7541,2026-03-20T16:54:44.9752286+00:00
tai_20_5_0,Evolutionary_p80_g130_s0,EvolutionaryParameters,0,14269,10480,18.3387,9724,2026-03-20T16:54:44.9317167+00:00
tai_20_5_0,Evolutionary_p80_g140_s0,EvolutionaryParameters,0,14532,11280,24.9818,9745,2026-03-20T16:54:44.8766398+00:00
tai_20_5_0,Evolutionary_p80_g150_s0,EvolutionaryParameters,0,14274,12080,23.2853,7574,2026-03-20T16:54:44.8824395+00:00
tai_20_5_0,Evolutionary_p80_g160_s0,EvolutionaryParameters,0,14158,12880,22.2277,7712,2026-03-20T16:54:45.0390748+00:00
tai_20_5_0,Evolutionary_p90_g10_s0,EvolutionaryParameters,0,15480,990,1.7683,930,2026-03-20T16:54:45.0031627+00:00
tai_20_5_0,Evolutionary_p90_g20_s0,EvolutionaryParameters,0,14402,1890,2.0622,1730,2026-03-20T16:54:45.0643070+00:00
tai_20_5_0,Evolutionary_p90_g30_s0,EvolutionaryParameters,0,14533,2790,4.9806,2743,2026-03-20T16:54:44.9631752+00:00
tai_20_5_0,Evolutionary_p90_g40_s0,EvolutionaryParameters,0,14715,3690,4.0396,3490,2026-03-20T16:54:45.0832910+00:00
tai_20_5_0,Evolutionary_p90_g50_s0,EvolutionaryParameters,0,14669,4590,9.3012,3778,2026-03-20T16:54:44.8917555+00:00
tai_20_5_0,Evolutionary_p90_g60_s0,EvolutionaryParameters,0,14423,5490,13.1782,3014,2026-03-20T16:54:44.9431917+00:00
tai_20_5_0,Evolutionary_p90_g70_s0,EvolutionaryParameters,0,14409,6390,11.5903,5547,2026-03-20T16:54:44.9585370+00:00
tai_20_5_0,Evolutionary_p90_g80_s0,EvolutionaryParameters,0,14326,7290,13.7058,6518,2026-03-20T16:54:44.9106334+00:00
tai_20_5_0,Evolutionary_p90_g90_s0,EvolutionaryParameters,0,14300,8190,14.2207,6649,2026-03-20T16:54:45.0618017+00:00
tai_20_5_0,Evolutionary_p90_g100_s0,EvolutionaryParameters,0,14405,9090,17.0939,9001,2026-03-20T16:54:44.9305554+00:00
